bean_id,rating,aroma,acidity,body,flavor,aftertaste
133,92,9.0,8.0,8.0,9.0,8.0
134,91,8.0,8.0,8.0,9.0,8.0
135,91,9.0,8.0,8.0,9.0,7.0
136,95,9.0,9.0,9.0,9.0,9.0
137,93,9.0,9.0,8.0,9.0,8.0
138,92,9.0,8.0,8.0,9.0,8.0
139,92,9.0,8.0,8.0,9.0,8.0
140,94,9.0,9.0,9.0,9.0,8.0
141,92,9.0,8.0,8.0,9.0,8.0
142,93,9.0,8.0,9.0,9.0,8.0
143,95,9.0,9.0,9.0,9.0,9.0
144,96,9.0,9.0,9.0,10.0,9.0
145,93,9.0,8.0,9.0,9.0,8.0
146,95,9.0,9.0,9.0,9.0,9.0
147,96,9.0,9.0,9.0,10.0,9.0
148,93,9.0,8.0,9.0,9.0,8.0
149,93,9.0,9.0,8.0,9.0,8.0
150,92,9.0,8.0,9.0,9.0,7.0
151,91,8.0,8.0,8.0,9.0,8.0
152,94,9.0,9.0,9.0,9.0,8.0
153,90,8.0,8.0,8.0,9.0,7.0
154,95,9.0,9.0,9.0,9.0,9.0
155,92,9.0,8.0,8.0,9.0,8.0
156,95,9.0,9.0,9.0,9.0,9.0
157,94,9.0,9.0,9.0,9.0,8.0
158,90,8.0,8.0,8.0,8.0,8.0
159,93,9.0,9.0,8.0,9.0,8.0
160,96,9.0,9.0,10.0,10.0,8.0
161,87,8.0,7.0,7.0,8.0,7.0
162,94,9.0,9.0,9.0,9.0,8.0
163,93,9.0,8.0,9.0,9.0,8.0
164,94,9.0,9.0,9.0,9.0,8.0
165,90,8.0,8.0,8.0,9.0,7.0
166,94,9.0,9.0,9.0,9.0,8.0
167,93,9.0,9.0,8.0,9.0,8.0
168,94,9.0,9.0,9.0,9.0,9.0
169,93,9.0,9.0,8.0,9.0,8.0
170,93,9.0,9.0,8.0,9.0,8.0
171,95,9.0,9.0,9.0,9.0,9.0
172,95,9.0,9.0,9.0,9.0,9.0
173,92,9.0,8.0,8.0,9.0,8.0
174,94,9.0,9.0,9.0,9.0,8.0
175,94,9.0,9.0,9.0,9.0,8.0
176,92,9.0,8.0,8.0,9.0,8.0
177,95,9.0,9.0,9.0,9.0,9.0
178,94,9.0,9.0,9.0,9.0,8.0
179,94,9.0,9.0,9.0,9.0,8.0
180,94,9.0,9.0,9.0,9.0,8.0
181,93,9.0,9.0,8.0,9.0,8.0
182,94,9.0,9.0,8.0,9.0,9.0
183,94,9.0,9.0,9.0,9.0,8.0
184,95,9.0,9.0,9.0,9.0,9.0
185,94,9.0,9.0,9.0,9.0,8.0
186,92,8.0,8.0,9.0,9.0,8.0
187,93,9.0,8.0,9.0,9.0,8.0
188,93,9.0,8.0,9.0,9.0,8.0
189,94,9.0,9.0,9.0,9.0,8.0
190,93,9.0,9.0,8.0,9.0,8.0
191,94,9.0,9.0,9.0,9.0,8.0
192,92,9.0,8.0,8.0,9.0,8.0
193,92,9.0,8.0,8.0,9.0,8.0
194,93,9.0,8.0,9.0,9.0,8.0
195,96,9.0,9.0,9.0,10.0,9.0
196,95,9.0,9.0,9.0,9.0,9.0
197,94,9.0,9.0,9.0,9.0,8.0
198,91,8.0,8.0,9.0,8.0,8.0
199,94,9.0,9.0,9.0,9.0,8.0
200,93,9.0,8.0,9.0,9.0,8.0
201,94,9.0,9.0,9.0,9.0,8.0
202,93,9.0,9.0,8.0,9.0,8.0
203,92,9.0,8.0,9.0,9.0,7.0
204,93,9.0,9.0,8.0,9.0,8.0
205,94,9.0,9.0,9.0,9.0,8.0
206,93,9.0,9.0,8.0,9.0,8.0
207,93,9.0,8.0,9.0,9.0,8.0
208,88,8.0,7.0,8.0,8.0,7.0
209,93,9.0,8.0,9.0,9.0,8.0
210,93,9.0,8.0,9.0,9.0,8.0
211,92,8.0,8.0,9.0,9.0,8.0
212,93,9.0,8.0,9.0,9.0,8.0
213,93,9.0,9.0,8.0,9.0,8.0
214,94,9.0,9.0,9.0,9.0,8.0
215,94,9.0,8.0,9.0,9.0,9.0
216,93,8.0,9.0,9.0,9.0,8.0
217,94,9.0,9.0,9.0,9.0,8.0
218,93,9.0,9.0,8.0,9.0,8.0
219,93,9.0,8.0,9.0,9.0,8.0
220,93,9.0,8.0,9.0,9.0,8.0
221,92,9.0,8.0,8.0,9.0,8.0
222,94,9.0,9.0,9.0,9.0,8.0
223,93,9.0,8.0,9.0,9.0,8.0
224,92,8.0,8.0,9.0,9.0,8.0
225,95,9.0,9.0,9.0,9.0,9.0
226,94,9.0,9.0,9.0,9.0,8.0
227,93,9.0,8.0,9.0,9.0,8.0
228,93,9.0,9.0,8.0,9.0,8.0
229,93,9.0,9.0,8.0,9.0,8.0
230,92,8.0,8.0,9.0,9.0,8.0
231,93,9.0,9.0,8.0,9.0,8.0
232,93,9.0,9.0,8.0,9.0,8.0
233,91,8.0,8.0,8.0,9.0,8.0
234,93,9.0,9.0,8.0,9.0,8.0
235,94,9.0,9.0,9.0,9.0,8.0
236,92,9.0,8.0,8.0,9.0,8.0
237,96,9.0,9.0,9.0,10.0,9.0
238,96,9.0,9.0,9.0,10.0,9.0
239,94,9.0,9.0,9.0,9.0,8.0
240,94,9.0,9.0,9.0,9.0,8.0
241,95,9.0,9.0,9.0,9.0,9.0
