menu_id,bean_id,is_blended,match_source,match_country,match_keywords,id
6,799,False,menu_name,베트남,베트남,1
15,4,False,menu_name,에티오피아,"에티오피아,게이샤",2
16,4,False,menu_name,에티오피아,"에티오피아,게이샤",3
31,17,False,store_description,인도네시아,,4
32,17,False,store_description,인도네시아,,5
33,17,False,store_description,인도네시아,,6
34,17,False,store_description,인도네시아,,7
35,17,False,store_description,인도네시아,,8
36,17,False,store_description,인도네시아,,9
44,4,False,menu_name,에티오피아,에디오피아,10
46,5,False,menu_name,과테말라,과테말라,11
51,4,False,store_description,에티오피아,,12
52,4,False,store_description,에티오피아,,13
53,4,False,store_description,에티오피아,,14
54,4,False,store_description,에티오피아,,15
55,4,False,store_description,에티오피아,,16
56,4,False,store_description,에티오피아,,17
57,1,False,menu_name,콜롬비아,콜롬비아,18
76,18,False,menu_name,코스타리카,코스타리카,19
77,5,False,menu_name,과테말라,과테말라,20
78,36,False,menu_name,에티오피아,예가체프,21
79,94,False,menu_name,콜롬비아,"콜롬비아,게이샤",22
151,127,False,menu_name,예멘,모카,23
178,127,False,menu_name,예멘,모카,24
186,127,False,menu_name,예멘,모카,25
194,2,False,menu_name,케냐,케냐,26
195,4,False,menu_name,에티오피아,에티오피아,27
197,38,False,menu_name,브라질,브라질,28
198,5,False,menu_name,과테말라,과테말라,29
199,1,False,menu_name,콜롬비아,콜롬비아,30
200,18,False,menu_name,코스타리카,코스타리카,31
217,127,False,menu_name,예멘,모카,32
308,127,False,menu_name,예멘,모카,33
309,5,False,menu_name,과테말라,과테말라,34
324,127,False,store_description,예멘,,35
325,127,False,store_description,예멘,,36
326,127,False,store_description,예멘,,37
327,127,False,store_description,예멘,,38
328,127,False,store_description,예멘,,39
335,127,False,menu_name,예멘,모카,40
336,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",41
337,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",42
338,1,False,menu_name,콜롬비아,"콜롬비아,내추럴",43
339,1,False,menu_name,콜롬비아,"콜롬비아,자바,내추럴",44
340,1,False,menu_name,콜롬비아,콜롬비아,45
341,25,False,menu_name,콜롬비아,"콜롬비아,게샤,워시드",46
342,40,False,menu_name,엘살바도르,"엘살바도르,파카마라,내추럴",47
343,4,False,menu_name,에티오피아,"에티오피아,워시드",48
344,36,False,menu_name,에티오피아,"에티오피아,예가체프,내추럴",49
355,127,False,menu_name,예멘,모카,50
368,5,False,menu_name,과테말라,과테말라,51
369,28,False,menu_name,케냐,"케냐,AA",52
370,4,False,menu_name,에티오피아,"에티오피아,구지",53
371,20,False,store_description,하와이,,54
372,20,False,store_description,하와이,,55
373,20,False,store_description,하와이,,56
374,20,False,store_description,하와이,,57
381,4,False,menu_name,에티오피아,"에티오피아,구지,게이샤",58
384,127,False,menu_name,예멘,"예멘,모카",59
454,4,False,store_description,에티오피아,,60
454,5,False,store_description,과테말라,,61
454,1,False,store_description,콜롬비아,,62
454,38,False,store_description,브라질,,63
455,4,False,store_description,에티오피아,,64
455,5,False,store_description,과테말라,,65
455,1,False,store_description,콜롬비아,,66
455,38,False,store_description,브라질,,67
456,4,False,store_description,에티오피아,,68
456,5,False,store_description,과테말라,,69
456,1,False,store_description,콜롬비아,,70
456,38,False,store_description,브라질,,71
459,127,False,menu_name,예멘,모카,72
519,127,False,menu_name,예멘,모카,73
526,127,False,menu_name,예멘,모카,74
583,127,False,menu_name,예멘,모카,75
596,16,False,menu_name,엘살바도르,"엘살바도르,게이샤",76
597,1,False,menu_name,콜롬비아,콜롬비아,77
598,28,False,menu_name,케냐,"케냐,AA,워시드",78
604,127,False,menu_name,예멘,모카,79
635,799,False,menu_name,베트남,베트남,80
640,127,False,menu_name,예멘,모카,81
641,127,False,menu_name,예멘,모카,82
681,127,False,menu_name,예멘,모카,83
730,5,False,menu_name,과테말라,과테말라,84
731,2,False,menu_name,케냐,케냐,85
732,127,False,menu_name,예멘,모카,86
734,4,False,menu_name,에티오피아,에티오피아,87
742,127,False,menu_name,예멘,예멘,88
743,127,False,store_description,예멘,,89
751,2,False,menu_name,케냐,케냐,90
755,127,False,menu_name,예멘,모카,91
789,127,False,store_description,예멘,,92
790,127,False,store_description,예멘,,93
791,127,False,store_description,예멘,,94
792,127,False,store_description,예멘,,95
793,127,False,store_description,예멘,,96
794,127,False,store_description,예멘,,97
795,127,False,store_description,예멘,,98
796,127,False,store_description,예멘,,99
797,127,False,store_description,예멘,,100
798,127,False,store_description,예멘,,101
799,127,False,store_description,예멘,,102
800,127,False,store_description,예멘,,103
821,127,False,menu_name,예멘,모카,104
860,4,False,store_description,에티오피아,,105
860,5,False,store_description,과테말라,,106
860,1,False,store_description,콜롬비아,,107
860,18,False,store_description,코스타리카,,108
860,38,False,store_description,브라질,,109
861,4,False,store_description,에티오피아,,110
861,5,False,store_description,과테말라,,111
861,1,False,store_description,콜롬비아,,112
861,18,False,store_description,코스타리카,,113
861,38,False,store_description,브라질,,114
862,4,False,store_description,에티오피아,,115
862,5,False,store_description,과테말라,,116
862,1,False,store_description,콜롬비아,,117
862,18,False,store_description,코스타리카,,118
862,38,False,store_description,브라질,,119
864,17,False,store_description,인도네시아,,120
865,17,False,store_description,인도네시아,,121
